target,model,held_out_country,pr_auc_base,roc_auc_base,f1_base,recall_base,precision_base,balanced_accuracy_base,false_alarm_rate_base,missed_event_rate_base,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h1,xgboost,Turkey,0.239874394770868,0.8292526231143968,0.1031518624641833,0.0589198036006546,0.4137931034482758,0.5269024852924545,0.0051148330157456,0.9410801963993454,0.2925069958904552,0.867696844580872,0.1117647058823529,0.0621931260229132,0.5507246376811594,0.5295420549380437,0.0031090161468257,0.9378068739770868,0.0526326011195872,0.03844422146647519,0.008612843418169605,0.0032733224222585983,0.13693153423288362,0.0026395696455892015,-0.0020058168689199,-0.003273322422258529
extreme_abs_151_h1,xgboost,United Kingdom,0.0004604051565377,0.7920099635945583,0.0,0.0,0.0,0.5,0.0,1.0,0.0008613264427217,0.8888675991569267,0.0,0.0,0.0,0.5,0.0,1.0,0.00040092128618400005,0.09685763556236837,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,United States,0.0318017454256293,0.9598789433187996,0.0,0.0,0.0,0.5,0.0,1.0,0.0408788587989063,0.9387760964349832,0.0,0.0,0.0,0.5,0.0,1.0,0.009077113373276997,-0.021102846883816473,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Vietnam,0.3519898955785218,0.8285185017739146,0.2311926605504587,0.1503579952267303,0.5,0.5688978410829564,0.0125623130608175,0.8496420047732697,0.4330136460211443,0.8616604839419689,0.2875816993464052,0.1837708830548926,0.6609442060085837,0.5879472560837773,0.0078763708873379,0.8162291169451074,0.0810237504426225,0.03314198216805431,0.056389038795946506,0.03341288782816229,0.16094420600858372,0.019049415000820913,-0.004685942173479601,-0.03341288782816232
extreme_abs_151_h3,xgboost,Australia,0.0007117437722419,0.8635833657209484,0.0,0.0,0.0,0.5,0.0,1.0,0.0005662514156285,0.8285075787019044,0.0,0.0,0.0,0.5,0.0,1.0,-0.00014549235661340005,-0.035075787019044014,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Bangladesh,0.942985729183728,0.880075303938859,0.863506334286882,0.8646842177056336,0.862331655557067,0.782859095558873,0.2989660265878877,0.1353157822943664,0.951306421729062,0.900205638144163,0.876285868976719,0.8830991679170646,0.8695768972464741,0.7981227006498174,0.2868537666174298,0.1169008320829354,0.008320692545333963,0.020130334205303968,0.012779534689837058,0.018414950211430914,0.0072452416894071,0.015263605090944377,-0.012112259970457895,-0.018414950211430983
extreme_abs_151_h3,xgboost,Brazil,0.0749348617677429,0.4244223898717987,0.0,0.0,0.0,0.4901634926338483,0.0196730147323032,1.0,0.3460429097512201,0.8378020422926485,0.0751633986928104,0.0405286343612334,0.5168539325842697,0.518332948154386,0.0038627380524613,0.9594713656387666,0.2711080479834772,0.41337965242084984,0.0751633986928104,0.0405286343612334,0.5168539325842697,0.028169455520537734,-0.0158102766798419,-0.04052863436123344
extreme_abs_151_h3,xgboost,China,0.4937565605405867,0.8788848795780211,0.4687310261080752,0.6970654627539503,0.3530756917447976,0.7754621662359482,0.1461411302820539,0.3029345372460497,0.6150107489381027,0.9298201617287384,0.4995654872749844,0.908352144469526,0.3445205479452055,0.8553022216303616,0.1977477012088025,0.091647855530474,0.121254188397516,0.0509352821507173,0.03083446116690919,0.21128668171557563,-0.008555143799592102,0.07984005539441341,0.05160657092674861,-0.21128668171557569
extreme_abs_151_h3,xgboost,Egypt,0.369589844670378,0.5796900385547575,0.1990311418685121,0.1447845348368908,0.3182824258521469,0.4952379588012109,0.1543086172344689,0.8552154651631091,0.4042492923142619,0.6238116284925873,0.2296663540131314,0.1725734997986306,0.34321185422507,0.5041224212420007,0.1643286573146292,0.8274265002013693,0.0346594476438839,0.044121589937829775,0.03063521214461931,0.027788964961739798,0.024929428372923113,0.008884462440789775,0.010020040080160303,-0.02778896496173977
extreme_abs_151_h3,xgboost,Ethiopia,0.3795076843843467,0.856039538327334,0.3318623124448367,0.2358845671267252,0.5595238095238095,0.6099110267802066,0.0160625135663121,0.7641154328732748,0.4182210648368007,0.9020899678330312,0.3788187372708758,0.3500627352572145,0.4127218934911242,0.6534880639602765,0.0430866073366616,0.6499372647427855,0.03871338045245404,0.046050429505697155,0.04695642482603907,0.11417816813048928,-0.14680191603268533,0.04357703718006989,0.027024093770349502,-0.11417816813048931
extreme_abs_151_h3,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,India,0.8761384187579817,0.9281174464739876,0.7748616825081572,0.7506871907641561,0.8006449721489299,0.8225772416923132,0.1055327073795297,0.2493128092358438,0.8987588815351613,0.9421931364493488,0.790885703785373,0.7394172622319956,0.8500553009954179,0.8328885799015957,0.0736401024288042,0.2605827377680044,0.02262046277717955,0.014075689975361128,0.016024021277215805,-0.011269928532160578,0.049410328846487994,0.010311338209282539,-0.0318926049507255,0.011269928532160578
