target,model,regime,threshold,rows,events,predicted_alerts,tp,fp,fn,tn,precision,recall,f1,false_alarm_rate,false_alerts_per_100_city_months,alerts_per_100_city_months,missed_events_per_100_events
extreme_abs_151_h3,xgboost,local_features,0.0,325005,42715,325005,42715,282290,0,0,0.1314287472500423,1.0,0.23232350701620796,1.0,86.85712527499577,100.0,0.0
extreme_abs_151_h3,xgboost,local_features,0.01,325005,42715,151560,42055,109505,660,172785,0.2774808656637635,0.9845487533653283,0.4329429931797709,0.3879166814269014,33.693327794957,46.6331287210966,1.545124663467166
extreme_abs_151_h3,xgboost,local_features,0.02,325005,42715,121902,41382,80520,1333,201770,0.339469409853817,0.9687931639939131,0.5027670289216788,0.28523858443444683,24.77500346148521,37.50773065029769,3.1206836006086855
extreme_abs_151_h3,xgboost,local_features,0.03,325005,42715,107310,40768,66542,1947,215748,0.37990867579908677,0.9544188224277186,0.5434827528745209,0.23572212972475115,20.474146551591513,33.01795356994508,4.55811775722814
extreme_abs_151_h3,xgboost,local_features,0.04,325005,42715,97711,40141,57570,2574,224720,0.41081352150730216,0.9397401381247805,0.5717032458376654,0.2039392114492189,17.713573637328658,30.06446054676082,6.025986187521948
extreme_abs_151_h3,xgboost,local_features,0.05,325005,42715,90755,39514,51241,3201,231049,0.4353919894220704,0.9250614538218425,0.5921030943283135,0.18151900527825995,15.766218981246443,27.924185781757203,7.493854617815756
extreme_abs_151_h3,xgboost,local_features,0.06,325005,42715,85226,38938,46288,3777,236002,0.4568793560650506,0.911576729486129,0.6086868165795172,0.16397321903007545,14.242242427039583,26.222981184904846,8.8423270513871
extreme_abs_151_h3,xgboost,local_features,0.07,325005,42715,80741,38356,42385,4359,239905,0.47504985075735995,0.8979515392719185,0.6213711767755313,0.15014701193807786,13.041337825571913,24.843002415347456,10.204846072808147
extreme_abs_151_h3,xgboost,local_features,0.08,325005,42715,76992,37863,39129,4852,243161,0.4917783665835411,0.8864099262554138,0.6325945851119816,0.13861277409755926,12.039507084506392,23.689481700281533,11.35900737445862
extreme_abs_151_h3,xgboost,local_features,0.09,325005,42715,73811,37328,36483,5387,245807,0.5057240790668057,0.8738850520894299,0.6406810497228086,0.12923943462396825,11.225365763603637,22.710727527268812,12.611494791057005
extreme_abs_151_h3,xgboost,local_features,0.1,325005,42715,71179,36867,34312,5848,247978,0.5179477092962812,0.8630925904249093,0.6473914341405165,0.12154876191150944,10.55737604036861,21.900893832402577,13.690740957509071
