split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,held_out_country,random_pr_auc,random_f1,random_recall,random_precision,drop_random_to_loco_pr_auc,relative_drop_random_to_loco_pr_auc,drop_random_to_loco_f1,relative_drop_random_to_loco_f1,drop_random_to_loco_recall,relative_drop_random_to_loco_recall,drop_random_to_loco_precision,relative_drop_random_to_loco_precision
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,22594,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594,0,0,0,0.0,0.0,,,Japan,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,,,0.7034912109375,1.0,0.8844383057090239,1.0,0.5840089177138225,1.0
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.5,9.579461634256155e-05,Australia,0.1317881196529337,0.0,0.0,0.0,0.13169232503659112,0.9992731164493822,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.5,9.579461634256155e-05,United Kingdom,0.1317881196529337,0.0,0.0,0.0,0.13169232503659112,0.9992731164493822,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,27885,35,0.0012551551013089,0.9987448448986912,0.5,0.0,0.0,0.0,0.4996860141742172,27850,0,35,0,0.0,1.0,0.5,0.0012551551013089,United States,0.1317881196529337,0.0,0.0,0.0,0.13053296455162477,0.9904759616829317,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,9867,51,0.005168744299179,0.9948312557008208,0.5,0.0,0.0,0.0,0.4987044657826551,9816,0,51,0,0.0,1.0,0.5,0.005168744299179,Thailand,0.1317881196529337,0.0,0.0,0.0,0.1266193753537547,0.9607798918992777,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,10725,61,0.0056876456876456,0.9943123543123544,0.5,0.0,0.0,0.0,0.4985740333816447,10664,0,61,0,0.0,1.0,0.5,0.0056876456876456,South Africa,0.1317881196529337,0.0,0.0,0.0,0.1261004739652881,0.956842500654656,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,20306,142,0.0069930069930069,0.993006993006993,0.5,0.0,0.0,0.0,0.4982456140350877,20164,0,142,0,0.0,1.0,0.5,0.0069930069930069,Philippines,0.1317881196529337,0.0,0.0,0.0,0.1247951126599268,0.9469375008049049,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,12584,130,0.0103305785123966,0.9896694214876032,0.5,0.0,0.0,0.0,0.4974039460020768,12454,0,130,0,0.0,1.0,0.5,0.0103305785123966,South Korea,0.1317881196529337,0.0,0.0,0.0,0.12145754114053708,0.9216122170981546,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,10725,135,0.0125874125874125,0.9874125874125874,0.5,0.0,0.0,0.0,0.4968332160450387,10590,0,135,0,0.0,1.0,0.5,0.0125874125874125,Saudi Arabia,0.1317881196529337,0.0,0.0,0.0,0.11920070706552119,0.9044875014488281,0.0,,0.0,,0.0,
leave_one_country_out,extreme_abs_151_h1,majority_class,baseline,test,10582,611,0.0577395577395577,0.9422604422604424,0.5,0.0,0.0,0.0,0.4851359898798228,9971,0,611,0,0.0,1.0,0.5,0.0577395577395577,Turkey,0.1317881196529337,0.0,0.0,0.0,0.074048561913376,0.5618758512404926,0.0,,0.0,,0.0,
