target,model,held_out_country,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_weighted,roc_auc_weighted,f1_weighted,recall_weighted,precision_weighted,balanced_accuracy_weighted,false_alarm_rate_weighted,missed_event_rate_weighted,feature_regime,weighting_strategy,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h3,xgboost,India,0.8987588815351613,0.9421931364493488,0.790885703785373,0.7394172622319956,0.8500553009954179,0.8328885799015957,0.0736401024288042,0.2605827377680044,0.9118079225881592,0.9489478638546852,0.7991794270642538,0.7495876855415063,0.85579789737957,0.8391377552406841,0.0713121750601381,0.2504123144584936,local,country_class_balanced,0.013049041052997978,0.006754727405336447,0.008293723278880782,0.01017042330951079,0.005742596384152088,0.00624917533908842,-0.002327927368666105,-0.01017042330951079
extreme_abs_151_h3,xgboost,Indonesia,0.1821976939527264,0.6347349064989678,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.5034155862413423,0.0225055622111928,0.9706632653061223,0.2379029301707467,0.6747193026192164,0.2536317235963879,0.2059948979591837,0.3299284984678243,0.5749296755755187,0.0561355468081465,0.7940051020408163,local,country_class_balanced,0.055705236218020315,0.03998439612024862,0.20461733894002143,0.1766581632653062,0.18106118455196668,0.07151408933417636,0.0336299845969537,-0.17665816326530603
extreme_abs_151_h3,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.9997755633360266,0.0002244366639734,0.0,local,country_class_balanced,,,0.0,0.0,0.0,-0.00022443666397342632,0.0002244366639734,0.0
extreme_abs_151_h3,xgboost,Mexico,0.5647643485518264,0.8959046983356186,0.5349056603773585,0.4813242784380305,0.6019108280254777,0.7239657901540109,0.0333926981300089,0.5186757215619694,0.5398996115376465,0.9044677426914024,0.5598393574297189,0.5916808149405772,0.53125,0.7684583950036813,0.0547640249332146,0.4083191850594228,local,country_class_balanced,-0.024864737014179905,0.008563044355783811,0.02493369705236037,0.11035653650254673,-0.07066082802547768,0.044492604849670436,0.0213713268032057,-0.11035653650254662
extreme_abs_151_h3,xgboost,Nigeria,0.8843703267686996,0.9126873687309396,0.7993799250742798,0.7856780091416963,0.8135682356034709,0.8357904046352189,0.1140971998712584,0.2143219908583037,0.8877329784477419,0.9146906598462196,0.802504696305573,0.813610970035551,0.7916975537435137,0.838974780157782,0.1356614097199871,0.1863890299644489,local,country_class_balanced,0.003362651679042261,0.0020032911152799704,0.0031247712312931775,0.027932960893854775,-0.02187068185995722,0.003184375522563121,0.021564209848728713,-0.027932960893854802
extreme_abs_151_h3,xgboost,Pakistan,0.9688713117622846,0.8798297372813878,0.8315544105017789,0.7424690546609706,0.944932385333891,0.7729758208628236,0.1965174129353233,0.2575309453390295,0.9675764350466788,0.8721231993172488,0.8809264461388523,0.8416036805783766,0.924103921096945,0.763836666159835,0.3139303482587064,0.1583963194216234,local,country_class_balanced,-0.0012948767156057972,-0.007706537964139004,0.049372035637073375,0.09913462591740607,-0.020828464236946065,-0.009139154702988539,0.11741293532338312,-0.09913462591740607
extreme_abs_151_h3,xgboost,Philippines,0.0497557408069582,0.9065392683360592,0.0,0.0,0.0,0.499899416616375,0.00020116676725,1.0,0.0558545013557582,0.9116662876568152,0.1159678858162355,0.4710144927536231,0.0661241098677517,0.7124233598348684,0.0461677730838865,0.5289855072463768,local,country_class_balanced,0.0060987605488,0.005127019320755988,0.1159678858162355,0.4710144927536231,0.0661241098677517,0.21252394321849338,0.045966606316636495,-0.47101449275362317
extreme_abs_151_h3,xgboost,Russia,0.7822014502178402,0.9536088170334808,0.6513089005235602,0.5127782357790602,0.8923959827833573,0.7528616980795404,0.0070548396199793,0.4872217642209398,0.7041702479934321,0.9423026949991404,0.6123032904148784,0.7056883759274526,0.5407454200884396,0.8186517319388933,0.068384912049666,0.2943116240725474,local,country_class_balanced,-0.07803120222440807,-0.011306122034340338,-0.039005610108681754,0.19291014014839236,-0.3516505626949177,0.06579003385935289,0.0613300724296867,-0.19291014014839242
extreme_abs_151_h3,xgboost,Saudi Arabia,0.0181822701394581,0.5675487136675592,0.0,0.0,0.0,0.5,0.0,1.0,0.0248508259588176,0.6588270695178451,0.009090909090909,0.0074626865671641,0.0116279069767441,0.4996608519513342,0.0081409826644957,0.9925373134328358,local,country_class_balanced,0.0066685558193595,0.09127835585028587,0.009090909090909,0.0074626865671641,0.0116279069767441,-0.00033914804866580495,0.0081409826644957,-0.007462686567164201
extreme_abs_151_h3,xgboost,South Africa,0.0420644860467548,0.923755055710263,0.0,0.0,0.0,0.5,0.0,1.0,0.0485029708869558,0.9339662651203549,0.0,0.0,0.0,0.5,0.0,1.0,local,country_class_balanced,0.006438484840201,0.010211209410091904,0.0,0.0,0.0,0.0,0.0,0.0
