held_out_country,train_country,profile_distance,similarity_weight,target,model,feature_regime,temperature
Bangladesh,Turkey,2.208123600899585,0.941599373880244,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Vietnam,2.287923342611399,0.9047693235791626,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Thailand,2.366016708545493,0.8701219177451823,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,South Korea,2.411725592259653,0.8504612890780895,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Philippines,2.41816680605848,0.8477266934752057,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Saudi Arabia,2.453426803489013,0.8329122460161845,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Japan,2.5354323074657312,0.7994512363330581,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,United States,2.558816408237308,0.7901584439584873,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,United Kingdom,2.562980562547501,0.7885149846117011,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,France,2.5881674816722,0.7786471187396223,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Germany,2.600019119075145,0.7740466413413133,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,South Africa,2.6615596344902177,0.7505917340604603,extreme_abs_151_h3,xgboost,local,2.0
Bangladesh,Australia,2.920944412082097,0.659293947180621,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Russia,0.7121512600727223,1.2955541311972745,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Indonesia,0.7440570538321982,1.275050272553598,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Philippines,0.7827606043621457,1.2506130011436478,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Ethiopia,0.8334533639292256,1.2193128376557396,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Vietnam,0.8747626907354921,1.1943866485845636,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Mexico,0.892680178121513,1.183734232110002,extreme_abs_151_h3,xgboost,local,2.0
Brazil,China,1.0599188739683478,1.0887766181226373,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Thailand,1.068645427013376,1.084036333772758,extreme_abs_151_h3,xgboost,local,2.0
Brazil,United Kingdom,1.103551003094798,1.0652810197408848,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Turkey,1.1065560331041222,1.0636816208858253,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Germany,1.1147477733698157,1.0593338291773484,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Japan,1.1989500736608618,1.0156604569373078,extreme_abs_151_h3,xgboost,local,2.0
Brazil,United States,1.222450413231151,1.0037961146477432,extreme_abs_151_h3,xgboost,local,2.0
Brazil,South Korea,1.2376871926468138,0.9961778609188796,extreme_abs_151_h3,xgboost,local,2.0
Brazil,India,1.3130586460853624,0.959334764048852,extreme_abs_151_h3,xgboost,local,2.0
Brazil,France,1.3294831431410288,0.9514887294335378,extreme_abs_151_h3,xgboost,local,2.0
Brazil,South Africa,1.4057501923048874,0.915888211182336,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Nigeria,1.577072904838041,0.8406983880642449,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Australia,1.6148927058890827,0.8249502324735105,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Saudi Arabia,1.6550618207785288,0.808546751876736,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Egypt,1.923152930778926,0.7071147426127165,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Bangladesh,2.1995295923651645,0.6158507326248531,extreme_abs_151_h3,xgboost,local,2.0
Brazil,Pakistan,2.3169584533819165,0.5807324702350092,extreme_abs_151_h3,xgboost,local,2.0
China,Ethiopia,0.6971670659163055,1.2368075936666192,extreme_abs_151_h3,xgboost,local,2.0
China,Russia,0.8112934017999147,1.1682073223420828,extreme_abs_151_h3,xgboost,local,2.0
China,South Korea,0.8116207776419144,1.168016116563657,extreme_abs_151_h3,xgboost,local,2.0
China,Mexico,0.9106319398282158,1.1116007589554568,extreme_abs_151_h3,xgboost,local,2.0
China,Japan,0.9759477735396628,1.0758845761932392,extreme_abs_151_h3,xgboost,local,2.0
China,Indonesia,1.000022933073101,1.0630111675786664,extreme_abs_151_h3,xgboost,local,2.0
China,Thailand,1.005441413011853,1.0601351129558203,extreme_abs_151_h3,xgboost,local,2.0
China,India,1.0422902517636383,1.0407815753611214,extreme_abs_151_h3,xgboost,local,2.0
