target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,random_split,aqi_pollutants,51,random_forest,ensemble,validation,48751,6407,0.1314229451703555,0.9218887817685792,0.8956914420101456,0.65427994776208,0.8601529577025129,0.7432231962238706,0.8485808259036907,39432,2912,896,5511,0.0687700736822218,0.1398470422974871,0.966586374640834,0.8459942088006612
extreme_abs_151_h3,random_split,aqi_pollutants,51,random_forest,ensemble,test,48751,6407,0.1314229451703555,0.9194888309983384,0.8935151212020694,0.6457256928135274,0.8582800062431716,0.7369831803256718,0.8447264682795483,39327,3017,908,5499,0.0712497638390326,0.1417199937568284,0.9652868921912616,0.8447907072322823
extreme_abs_151_h3,random_split,aqi_pollutants_meteorology,57,logistic_regression,linear,train,227503,29901,0.131431233873839,0.881566396926634,0.8602689589538386,0.5316182288659352,0.8313768770275242,0.6485351282251963,0.7886597574604509,175700,21902,5042,24859,0.1108389591198469,0.1686231229724758,0.9320936604179284,0.7477805424829695
extreme_abs_151_h3,random_split,aqi_pollutants_meteorology,57,logistic_regression,linear,validation,48751,6407,0.1314229451703555,0.8830177842505795,0.8635129141825472,0.5351227299940132,0.8370532230373029,0.6528699251323878,0.7912629570896481,37685,4659,1044,5363,0.1100273946722085,0.162946776962697,0.9344802966632916,0.7450732636459663
extreme_abs_151_h3,random_split,aqi_pollutants_meteorology,57,logistic_regression,linear,test,48751,6407,0.1314229451703555,0.8809255194765235,0.8578709763324175,0.5301301301301301,0.8265959107226472,0.6459718241141672,0.7871989692052249,37650,4694,1111,5296,0.1108539580578122,0.1734040892773529,0.9323751282390544,0.7480896586340231
extreme_abs_151_h3,random_split,aqi_pollutants_meteorology,57,random_forest,ensemble,train,227503,29901,0.131431233873839,0.9381063106860128,0.9404008394958756,0.6948083932617476,0.943513594863048,0.800283667824977,0.8818310882967424,185210,12392,1689,28212,0.0627119158712968,0.0564864051369519,0.9858011294087052,0.915701971882547
extreme_abs_151_h3,random_split,aqi_pollutants_meteorology,57,random_forest,ensemble,validation,48751,6407,0.1314229451703555,0.9221554429652724,0.8979643577036511,0.6541184800566439,0.8651474949274232,0.7449768160741885,0.8495220919673299,39413,2931,864,5543,0.0692187795201209,0.1348525050725768,0.9680984277628756,0.8508420478084828
extreme_abs_151_h3,random_split,aqi_pollutants_meteorology,57,random_forest,ensemble,test,48751,6407,0.1314229451703555,0.919693954995795,0.8976070974321345,0.6444470206352887,0.8676447635398783,0.7395729395330274,0.8460502779853596,39277,3067,848,5559,0.0724305686756092,0.1323552364601217,0.967192424059376,0.8513445378500042
extreme_abs_151_h3,temporal_split,all_features,64,logistic_regression,linear,train,221280,28937,0.1307709689081706,0.8761162328271873,0.855944170908921,0.5164110957960028,0.8286277084701248,0.6362828218498322,0.7808134263065567,169889,22454,4959,23978,0.1167393666522826,0.1713722915298752,0.9336576287090148,0.7349908080353239
extreme_abs_151_h3,temporal_split,all_features,64,logistic_regression,linear,validation,55320,7465,0.1349421547360809,0.8796637744034708,0.8639656746634226,0.5343245539507222,0.8424648359008707,0.6539121393293476,0.790541212709365,42374,5481,1176,6289,0.1145334865740257,0.1575351640991292,0.9401751257548986,0.7625197070385875
