target,model,model_family,feature_set,feature_regime,weighting_strategy,temperature,min_weight,max_weight,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,South Africa,0.4552724880235852,1.0029346080948665,1.3860852738242877,0.246828302166958,validation,47165,6398,0.1356514364465175,0.9437082582423408,0.8625486148369166,0.8188788550008519,0.7511722413254142,0.7835656639765224,0.8756062359583817,39704,1063,1592,4806,0.0260750116515809,0.2488277586745858,0.9776341711146104,0.8874680745979082
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,South Africa,0.4552724880235852,1.0029346080948665,1.3860852738242877,0.246828302166958,test,10575,61,0.0057683215130023,0.9942316784869976,0.5,0.0,0.0,0.0,0.4985537483996396,10514,0,61,0,0.0,1.0,0.9371704238221014,0.0492706035638467
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,South Korea,0.5064259869453756,1.0191530498807644,1.272054518532005,0.209381104825048,validation,46890,6388,0.1362337385370015,0.9442738323736404,0.8642374301452278,0.8220440197918444,0.7542266750156543,0.7866764633847662,0.8773136520846265,39459,1043,1570,4818,0.0257518147251987,0.2457733249843456,0.9787107751847068,0.8915543554327726
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,South Korea,0.5064259869453756,1.0191530498807644,1.272054518532005,0.209381104825048,test,12408,127,0.0102353320438426,0.9897646679561574,0.5,0.0,0.0,0.0,0.4974280043744177,12281,0,127,0,0.0,1.0,0.8534237959282855,0.0461026124250755
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Thailand,0.4877281348417251,1.0024792047280893,1.3722253650811749,0.2117295186124603,validation,47292,6400,0.1353294426118582,0.9442188953734246,0.8626375192580455,0.8216484268125855,0.75078125,0.7846178967994775,0.8762892243422183,39849,1043,1595,4805,0.0255062114839088,0.24921875,0.9774978621276778,0.8878563966933438
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Thailand,0.4877281348417251,1.0024792047280893,1.3722253650811749,0.2117295186124603,test,9729,51,0.0052420598211532,0.9943467982320896,0.4997933457325894,0.0,0.0,0.0,0.4985826933979281,9674,4,51,0,0.0004133085348212,1.0,0.9509135334232888,0.0607903894574339
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Turkey,0.5507617418093047,0.9968174239181044,1.3519540905105685,0.1645279640823506,validation,47186,6317,0.1338744542872886,0.945725427033442,0.8670208289885613,0.8215753424657535,0.7595377552635745,0.7893394751994736,0.8790947208752948,39827,1042,1519,4798,0.0254960972864518,0.2404622447364255,0.9795109102616484,0.892671287878618
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Turkey,0.5507617418093047,0.9968174239181044,1.3519540905105685,0.1645279640823506,test,10434,600,0.0575043128234617,0.9429748897834004,0.5237288997356111,0.5454545454545454,0.05,0.0916030534351145,0.5310832760867751,9809,25,570,30,0.0025422005287777,0.95,0.8462161887329672,0.2654942891455325
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,United Kingdom,0.447120105568887,1.001994239902063,1.5529515954004245,0.2526697812487193,validation,47207,6407,0.1357213972504077,0.9443514732984516,0.8624192155791612,0.8241852487135506,0.7499609801779303,0.785323200130751,0.8766778089802787,39775,1025,1602,4805,0.0251225490196078,0.2500390198220696,0.9771650167402688,0.8871014240784638
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,United Kingdom,0.447120105568887,1.001994239902063,1.5529515954004245,0.2526697812487193,test,10293,1,9.71534052268532e-05,0.9999028465947732,0.5,0.0,0.0,0.0,0.4999757104687879,10292,0,1,0,0.0,1.0,0.9148853478429848,0.0011402508551881
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,United States,0.472596101555493,1.003782184359564,1.3858395537090131,0.2491519101575857,validation,44627,6402,0.143455755484348,0.9423219127434064,0.8641192612919972,0.8281893004115226,0.7544517338331771,0.7896027464443355,0.8780914277534584,37223,1002,1572,4830,0.0262132112491824,0.2455482661668228,0.9768715997637264,0.8921098531190389
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,United States,0.472596101555493,1.003782184359564,1.3858395537090131,0.2491519101575857,test,27495,35,0.0012729587197672,0.9987270412802328,0.5,0.0,0.0,0.0,0.4996815576380675,27460,0,35,0,0.0,1.0,0.9197742170429716,0.0184455945580435
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Vietnam,0.6120152012012733,1.0081269191452564,1.4494552398750051,0.1942687538554157,validation,47144,6284,0.1332937383336161,0.9458255557441032,0.8662703030608936,0.8218847083189507,0.7577975811584978,0.7885411491968869,0.8787371844999152,39828,1032,1522,4762,0.0252569750367107,0.2422024188415022,0.978785581668226,0.8910757771487285
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Vietnam,0.6120152012012733,1.0081269191452564,1.4494552398750051,0.1942687538554157,test,10716,821,0.0766144083613288,0.9309443822321762,0.5672015357354537,0.7793103448275862,0.1376370280146163,0.2339544513457556,0.5988984608922661,9863,32,708,113,0.0032339565437089,0.8623629719853837,0.8728860095558786,0.4600055012454568
