target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,Thailand,f1,0.7,test_default_threshold,,,,,,,,,,,,,,,,,,,9867.0,51.0,0.005168744299179,0.9723320158102768,0.5959747590967928,0.0450819672131147,0.2156862745098039,0.0745762711864406,0.5302661694426982,9583.0,233.0,40.0,11.0,0.0237367563162184,0.7843137254901961,0.950490995094044,0.050709321420856
extreme_abs_151_h1,random_forest,ensemble,Turkey,f1,0.71,validation_selected,0.71,47855.0,6424.0,0.1342388465155156,0.9432034270191204,0.8828879141670619,0.7816965643052599,0.8004358655043586,0.7909552376557453,0.8790463183490798,39995.0,1436.0,1282.0,5142.0,0.0346600371702348,0.1995641344956413,0.9767890106742616,0.8818021109765742,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Turkey,f1,0.71,test_calibrated,,,,,,,,,,,,,,,,,,,10582.0,611.0,0.0577395577395577,0.9366849366849368,0.5485098274357338,0.3471502590673575,0.1096563011456628,0.1666666666666666,0.566879502292076,9845.0,126.0,544.0,67.0,0.0126366462741951,0.8903436988543372,0.8231491620297883,0.2439130498355403
extreme_abs_151_h1,random_forest,ensemble,Turkey,f1,0.71,test_default_threshold,,,,,,,,,,,,,,,,,,,10582.0,611.0,0.0577395577395577,0.914949914949915,0.6283904173166012,0.2813918305597579,0.3044189852700491,0.2924528301886792,0.6236042554321639,9496.0,475.0,425.0,186.0,0.0476381506368468,0.6955810147299509,0.8231491620297883,0.2439130498355403
extreme_abs_151_h1,random_forest,ensemble,United Kingdom,f1,0.67,validation_selected,0.67,47877.0,6516.0,0.1360987530547026,0.9395325521649226,0.8867175511152021,0.7590499356131063,0.8141497851442603,0.7856349500185117,0.8752184768451444,39677.0,1684.0,1211.0,5305.0,0.040714682913856,0.1858502148557397,0.9748738699215306,0.8771784736494046,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,United Kingdom,f1,0.67,test_calibrated,,,,,,,,,,,,,,,,,,,10439.0,1.0,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438.0,0.0,1.0,0.0,0.0,1.0,0.8200804751868174,0.0005321979776476
extreme_abs_151_h1,random_forest,ensemble,United Kingdom,f1,0.67,test_default_threshold,,,,,,,,,,,,,,,,,,,10439.0,1.0,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438.0,0.0,1.0,0.0,0.0,1.0,0.8200804751868174,0.0005321979776476
extreme_abs_151_h1,random_forest,ensemble,United States,f1,0.69,validation_selected,0.69,45260.0,6511.0,0.1438577110030932,0.9376270437472382,0.8787279171128495,0.7761305780173705,0.7960374750422362,0.7859579952991129,0.8747262917489473,37254.0,1495.0,1328.0,5183.0,0.0385816408165372,0.2039625249577638,0.972975449163052,0.8752050174961851,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,United States,f1,0.69,test_calibrated,,,,,,,,,,,,,,,,,,,27885.0,35.0,0.0012551551013089,0.9987448448986912,0.5,0.0,0.0,0.0,0.4996860141742172,27850.0,0.0,35.0,0.0,0.0,1.0,0.8921610669402411,0.0331794041642233
extreme_abs_151_h1,random_forest,ensemble,United States,f1,0.69,test_default_threshold,,,,,,,,,,,,,,,,,,,27885.0,35.0,0.0012551551013089,0.9985296754527524,0.528427802000513,0.2,0.0571428571428571,0.0888888888888888,0.5440765664722595,27842.0,8.0,33.0,2.0,0.0002872531418312,0.9428571428571428,0.8921610669402411,0.0331794041642233
extreme_abs_151_h1,random_forest,ensemble,Vietnam,f1,0.67,validation_selected,0.67,47813.0,6390.0,0.1336456612218434,0.941250287578692,0.8909170160431537,0.7584813050382561,0.8222222222222222,0.7890666065930765,0.8774695557112195,39750.0,1673.0,1136.0,5254.0,0.0403881901359148,0.1777777777777777,0.9761214512043898,0.8801825130919531,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Vietnam,f1,0.67,test_calibrated,,,,,,,,,,,,,,,,,,,10868.0,838.0,0.0771071034228929,0.9244571218255428,0.6380963315304683,0.5175257731958763,0.2995226730310262,0.3794406651549509,0.6696105985844318,9796.0,234.0,587.0,251.0,0.0233300099700897,0.7004773269689738,0.807112909481579,0.371725966142692
